;question;reference_answer;generated_answer;response_token_sum;prompt_token_sum;ref_answer_token_sum;latency;power_consumption;gpu_utilization
26;what's the difference between tweedle dee and tweedle dum; Tweedledum and Tweedledee are fictional characters in an English nursery rhyme and in Lewis Carroll 's Through the Looking - Glass , and What Alice Found There . Their names may have originally come from an epigram written by poet John Byrom . The nursery rhyme has a Roud Folk Song Index number of 19800 . The names have since become synonymous in western popular culture slang for any two people who look and act in identical ways , generally in a derogatory context . ;" Tweedledee and Tweedledum are characters from Lewis Carroll's ""Through the Looking-Glass,"" the sequel to ""Alice's Adventures in Wonderland."" While they have many similarities, there are subtle differences between them:

1. Physical Appearance: Tweedledee is characterized by his red nose and his left boot lace unfastened. On the other hand, Tweedledum has a blue nose and his right boot lace unfastened.

2. Personality Traits: Although they are often portrayed as being identical twins, their personalities differ slightly. Tweedledee is generally considered to be more excitable and boisterous, while Tweedledum tends to be quieter and more thoughtful. However, in some versions of the story, these traits can be reversed or blurred.

3. Role in the Story: Both characters play a role in the game of chess that forms part of Alice's adventure in ""Through the Looking-Glass."" They are tasked with capturing the White Queen, but ultimately fail due to their own misunderstandings and Alice's cleverness.

4. Origin: Carroll created the characters as a playful nod to his real-life friends George MacDonald (Tweedledee) and Henry Liddell (Tweedledum), who were brothers. They were the eldest sons of the Dean of Christ Church, Oxford.

These differences may seem minimal, but they are significant in the context of the story and contribute to the characters' unique personalities and dynamics.";213;9;85;46.77716040611267;14.854414634146343;91.65853658536585
27;what do the lyrics mean to lady marmalade; Labelle 's version of `` Lady Marmalade '' was produced by Allen Toussaint and Vicki Wickham . It was released in November 1974 from Nightbirds , their first album after signing with Epic Records . Patti LaBelle sang lead vocals on `` Lady Marmalade '' with backing vocals being contributed by bandmates Nona Hendryx and Sarah Dash . The song is best known for the French lyric `` Voulez - vous coucher avec moi ce soir ? '' ( English : `` Would you like to sleep with me tonight ? '' ) in the refrain . `` Lady Marmalade '' is a song about a prostitute , although Patti LaBelle , the lead female vocal of the band , was completely oblivious to its overall message , saying : `` I did n't know what it was about . I do n't know French and nobody , I swear this is God 's truth , nobody at all told me what I 'd just sung a song about . '' ;" ""Lady Marmalade"" is a song by Christina Aguilera, Lil' Kim, Mya, and Pink from the Moulin Rouge! soundtrack. The lyrics are largely about a fictional character called ""Lady Marmelade,"" who is a seductive and mysterious woman working at a Parisian nightclub called the Moulin Rouge. Here are some key interpretations of the lyrics:

1. ""Voulez-vous coucher avec moi, ce soir?"" - This line translates to ""Do you want to sleep with me tonight?"" It sets the stage for the song's theme of seduction and passion.

2. ""C'est moi l'que vous chasser dans les rues de mon quartier"" - This translates to ""It's me who will chase you through the streets of my neighborhood."" The speaker is asserting her dominance and independence, suggesting that she is in control of their romantic encounter.

3. ""Lady Marmalade, Voulez-vous boire ce quart de liqueur?"" - This line refers to Lady Marmalade, the character from the song, and asks if she wants to drink a quarter of liquor. The offer of alcohol could symbolize a loosening of inhibitions and an invitation to engage in a more passionate encounter.

4. ""Pour me cherir, mon cher, tu dois boire ce quart de liqueur"" - This translates to ""To love me, my dear, you must drink this quarter of liquor."" The speaker is using the offer of alcohol as a test or condition for their affections.

5. ""Laisse-moi te faire la coucotte dans ma cuisine creole"" - This line translates to ""Let me make you my Creole cocotte (or concubine) in my Creole kitchen."" The speaker is inviting the listener to become her lover and offering an intimate, passionate experience.

Overall, the lyrics to ""Lady Marmalade"" emphasize seduction, passion, and a desire for intimacy, set against the backdrop of a Parisian nightclub and the character of Lady Marmalade.";300;8;171;63.642662525177;14.861428571428572;94.39285714285714
28;who was the actress that played tony montana's sister; Mary Elizabeth Mastrantonio ( born November 17 , 1958 ) is an American actress and singer . She made her Broadway debut in the 1980 revival of West Side Story , and went on to appear in the 1983 film Scarface as Al Pacino 's character 's sister , Gina Montana . For her role as Carmen in the 1986 film The Color of Money , she was nominated for the Academy Award for Best Supporting Actress . Her other film roles include The Abyss ( 1989 ) , Robin Hood : Prince of Thieves ( 1991 ) , and The Perfect Storm ( 2000 ) . In 2003 , she was nominated for the Tony Award for Best Actress in a Musical for the Broadway revival of Man of La Mancha . ;" In the movie ""Scarface"" (1983), Tony Montana's (played by Al Pacino) sister is named Gina Montana, and she is portrayed by actress Mary Elizabeth Mastrantonio. However, it's important to note that Gina doesn't appear until later in the film, and her character is not a significant one compared to Tony or his mother.";53;9;133;12.061804056167603;14.857777777777777;96.0
29;when does one flew over the cuckoos nest take place; One Flew Over the Cuckoo 's Nest was written in 1959 and published in 1962 in the midst of the Civil Rights Movement and deep changes to the way psychology and psychiatry were being approached in America . The 1960s began the controversial movement towards deinstitutionalization , an act that would have affected the characters in Kesey 's novel . The novel is a direct product of Kesey 's time working the graveyard shift as an orderly at a mental health facility in Menlo Park , California . Not only did he speak to the patients and witness the workings of the institution , but he voluntarily took psychoactive drugs , including mescaline and LSD , as part of Project MKUltra . ;" ""One Flew Over the Cockoo's Nest"" is set in a mental institution in Oregon, United States, during the mid-1960s. The exact year isn't explicitly stated in the novel by Ken Kesey but, based on some historical context clues, it can be approximated to be around 1963 or 1964.";48;10;122;11.701229572296143;14.874444444444444;95.33333333333333
30;types of writs in the constitution of india;  The writ of prohibition is issued by a higher court to a lower court prohibiting it from taking up a case because it falls outside the jurisdiction of the lower court . Thus , the higher court transfers the case to itself .   The writ of habeas corpus is issued to a detaining authority , ordering the detainer to produce the detained person in the issuing court , along with the cause of his or her detention . If the detention is found to be illegal , the court issues an order to set the person free .   The writ of certiorari is issued to a lower court directing that the record of a case be sent up for review , together with all supporting files , evidence and documents , usually with the intention of overruling the judgement of the lower court . It is one of the mechanisms by which the fundamental rights of the citizens are upheld .   The writ of mandamus is issued to a subordinate court , an officer of government , or a corporation or other institution commanding the performance of certain acts or duties .   The writ of quo warranto is issued against a person who claims or usurps a public office . Through this writ the court inquires ' by what authority ' the person supports his or her claim .  ;" The Constitution of India recognizes several types of writs that can be issued by the Supreme Court and High Courts for the enforcement of fundamental rights. Here are some of the main types:

1. Habeas Corpus: This is a writ to produce the body of a person who is being detained unlawfully or whose whereabouts are unknown. The purpose is to ensure that no one can be deprived of their personal liberty without due process of law.

2. Mandamus: This is a writ commanding or compelling a public official or any other person to perform a legal duty or function that they have failed to perform. It orders the authority to act, or not to act in certain cases, in accordance with the law.

3. Prohibition: This writ prohibits an inferior court or tribunal from exceeding its jurisdiction. It is issued when there is an error of law apparent on the face of the record of any proceedings of such a court or tribunal.

4. Quo Warranto: This writ challenges the authority of a person holding a public office to do so, either because they have assumed the position illegally or improperly, or because they are not qualified to hold that office.

5. Certiorari: This is a writ issued by a higher court to a lower court or tribunal to transfer a case and the record of the case from one court to another for the purpose of prosecuting further proceedings therein. It is used when the inferior court exceeded its jurisdiction, acted without authority of law, or refused to exercise its jurisdiction.

6. Quo Warranto in Contempt: This writ is issued when a person has been guilty of contempt of any order, writ, or authority of a court, and the court issuing such an order wants to punish the contemnor for their disobedience.

7. Prohibition in Contempt: This writ prohibits the superior judicial authority from doing an illegal act, or from acting beyond its powers. It is issued when there is a material probability that an inferior court will do an act which is without jurisdiction or is illegal.

8. Mandamus in Contempt: This writ commands a person to perform any public duty which that person has neglected to perform, upon being duly authorized by law to perform it. It is issued when there is a material probability that a public servant will refuse to perform his duty which the law has imposed upon him.

9. Declaratory: This writ seeks a declaration from the court about the existence or non-existence of certain rights, status, or other legal relations without any order for specific performance being made.";437;8;229;75.59085178375244;14.863611940298505;96.59701492537313
31;when can a writ of mandamus be issued; Mandamus ( `` We command '' ) is a judicial remedy in the form of an order from a superior court , to any government subordinate court , corporation , or public authority , to do ( or forbear from doing ) some specific act which that body is obliged under law to do ( or refrain from doing ) , and which is in the nature of public duty , and in certain cases one of a statutory duty . It can not be issued to compel an authority to do something against statutory provision . For example , it can not be used to force a lower court to reject or authorize applications that have been made , but if the court refuses to rule one way or the other then a mandamus can be used to order the court to rule on the applications . ;" A writ of mandamus is a court order that commands a public official or lower court to perform a statutory duty owed to the petitioner. To issue such a writ, several conditions must be met:

1. The person to whom the writ is addressed (the respondent) has a clear, precise, and definite duty to perform an act. This duty arises from a statute, regulation, or constitutional provision.
2. The petitioner has a legal right to receive the act or performance from the respondent. The petitioner must show that they have suffered or will suffer injury for which there is no other remedy.
3. The writ must be issued in the name of the law and not for private interests, as it seeks to enforce public rights.
4. There are no adequate alternatives available to obtain the desired relief.
5. The issuance of the writ will not be disruptive or detrimental to the administration of justice or proper government.
6. The petitioner must demonstrate that there is an absence of sufficient justification for the respondent's failure to perform their duty.
7. It must be shown that the respondent has refused or failed to perform the mandatory duty, or that a substantial question exists as to whether they will do so in the future.
8. The issuance of the writ must not amount to an exercise of judicial power for an improper purpose, such as settling private disputes or compelling political action.

These requirements can vary somewhat depending on jurisdiction, but the general principles outlined above apply broadly across different legal systems.";260;8;148;44.945844650268555;14.861025641025643;95.0
32;what is an honorable discharge from the marines; To receive an honorable discharge , a service member must have received a rating from good to excellent for his or her service . Service members who meet or exceed the required standards of duty performance and personal conduct , and who complete their tours of duty , normally receive honorable discharges . However , one need not complete a term of service to receive an honorable discharge , provided the reason for involuntary discharge is not due to misconduct . For instance , service members rendered physically or psychologically incapable of performing assigned duties normally have their service characterized as honorable , regardless of whether they incurred the condition or disability in the line of duty , provided they otherwise met or exceeded standards . Similarly , service members selected for involuntary discharge due to a Reduction in Force ( RIF ) typically receive an honorable discharge , assuming their conduct while on active duty met or exceeded standards . ; An Honorable Discharge from the U.S. Marine Corps is a type of discharge granted to service members who have completed their enlistment or service obligation, or were discharged under honorable conditions due to reasons such as medical disability, reduction in force, or hardship. It signifies that the individual performed their duties satisfactorily and exhibited good conduct during their time in service. This discharge is typically considered favorable, as it allows the former Marine access to various benefits provided by the Veterans Administration (VA), such as education assistance, healthcare, and other services.;91;8;161;16.96097207069397;14.851928571428571;92.28571428571429
33;when did the first us state legalize weed; The legal history of cannabis in the United States began with state - level prohibition in the early 20th century , with the first major federal limitations occurring in 1937 . Starting with Oregon in 1973 , individual states began to liberalize cannabis laws through decriminalization . In 1996 , California became the first state to legalize medical cannabis , sparking a trend that spread to a majority of states by 2016 . In 2012 , Colorado and Washington became the first states to legalize cannabis for recreational use . ; The first U.S. state to legalize recreational marijuana was Colorado, on January 1, 2014. Washington State followed suit later the same day. Both states had approved recreational marijuana initiatives (Amendment 64 in Colorado and Initiative 502 in Washington) in November 2012. These legalizations made history as they marked the first time any U.S. state fully legalized recreational cannabis use, sale, and cultivation. Since then, more states have followed suit with varying degrees of legalization. As of February 2021, 15 states, along with Washington D.C., have legalized recreational marijuana.;88;8;90;20.349144458770752;14.86305882352941;91.17647058823529
34;where did the settlers of new hampshire come from;" Massachusetts was first colonized by principally English Europeans in the early 17th century , and became the Commonwealth of Massachusetts in the 18th century . Prior to English colonization of the area , it was inhabited by a variety of mainly Algonquian language indigenous tribes . The first permanent English settlement in New England came in 1620 with the founding of Plymouth Colony by the Pilgrims who sailed on the Mayflower . It set precedents but never grew large . A large - scale Puritan migration began in 1630 with the establishment of the Massachusetts Bay Colony , and spawned the settlement of other New England colonies . Friction with the natives erupted in the high - casualty King Philip 's War in the 1670s . Puritanism was the established religion and was strictly enforced ; dissenters were exiled . The Colony clashed with Anglican opponents in England over its religious intolerance and the status of its charter . Most people were farmers . Businessmen established wide - ranging trade links , sending ships to the West Indies and Europe , and sometimes shipping goods in violation of the Navigation Acts . These political and trade issues led to the revocation of the Massachusetts charter in 1684 . ";" The settlers of New Hampshire, like many early American colonies, primarily came from England. The region was first inhabited by Algonquian-speaking Native American tribes such as the Abenaki and Pennacook. However, the European settlement began in the late 17th century when English Puritans, fleeing religious persecution, arrived.

The Plymouth Colony, established in Massachusetts in 1620, had a significant impact on the early settlement of New Hampshire. Many early settlers were from the neighboring colony. Other groups included the Mason-Dixon party who came to found Exeter in 1638 and the First Grant Settlements of 1623, which predate Massachusetts but were not officially part of any colony until New Hampshire was established in 1679.

Scots-Irish immigrants also began arriving in the mid-1700s, contributing to the settling and growth of the region. Overall, the early settlers of New Hampshire were largely English and Scottish, with a smaller number of French Huguenots and Dutch settlers.";151;9;208;31.839462995529175;14.847555555555559;94.74074074074075
35;when does gone with the wind come on tv; The film received its world television premiere on the HBO cable network on June 11 , 1976 , and played on the channel for a total of fourteen times throughout the rest of the month . It made its network television debut in November later that year : NBC paid $5 million for a one - off airing , and it was broadcast in two parts on successive evenings . It became at that time the highest - rated television program ever presented on a single network , watched by 47.5 percent of the households sampled in America , and 65 percent of television viewers , still the record for the highest rated film to ever air on television . In 1978 , CBS signed a deal worth $35 million to broadcast the film twenty times over as many years . Turner Entertainment acquired the MGM film library in 1986 , but the deal did not include the television rights to Gone with the Wind , which were still held by CBS . A deal was struck in which the rights were returned to Turner Entertainment and CBS 's broadcast rights to The Wizard of Oz were extended . It was used to launch two cable channels owned by Turner Broadcasting System : Turner Network Television ( 1988 ) and Turner Classic Movies ( 1994 ) . It debuted on videocassette in March 1985 , where it placed second in the sales charts , and has since been released on DVD and Blu - ray Disc formats . ;" ""Gone with the Wind"" is a classic film that is not shown frequently on television due to its long runtime and copyright restrictions. However, it sometimes airs on special occasions such as Turner Classic Movies (TCM)'s ""31 Days of Oscar"" in February or during its annual summer under-the-stars event. It's best to check the schedule of these channels or streaming platforms like HBO Max, where the film is available, for updates on potential airings. If you want to watch it right away, I recommend purchasing or renting it from an online streaming service.";93;9;258;17.052231550216675;14.861642857142856;97.57142857142857
36;the three pillars of the westphalian constitution of world politics are; Westphalian sovereignty , or state sovereignty , is the principle of international law that each nation - state has exclusive sovereignty over its territory . External powers should not interfere in another country 's domestic affairs . Each state , no matter how large or small , has equal rights to sovereignty . The principle underlies the modern international system of sovereign states . The United Nations Charter states that `` nothing should authorise intervention in matters essentially within the domestic jurisdiction of any state . '' ;"1. Recognition of Sovereignty: This principle states that each state has exclusive authority and jurisdiction over its territory and domestic affairs. It means that no other state or entity can interfere in a sovereign state's internal affairs without the consent of that state.

2. Territorial Integrity: This principle is based on the idea that the territory of a state is inviolable and cannot be altered by force. Any changes to a state's borders must be made peacefully through diplomatic means, such as negotiations or treaties.

3. Non-Intervention: This principle prohibits one state from interfering in the internal affairs of another state. States are expected to respect each other's political systems and social structures, and not attempt to impose their own values or ideologies on other states. These three principles together form the foundation of international relations and help maintain stability and order in the global community.";146;11;87;27.099919319152832;14.860999999999995;95.95652173913044
37;what type of genetic mutation is huntington's disease;" HD is typically inherited from a person 's parents , although up to 10 % of cases are due to a new mutation . The disease is caused by an autosomal dominant mutation in either of an individual 's two copies of a gene called Huntingtin . This means a child of an affected person typically has a 50 % chance of inheriting the disease . The Huntingtin gene provides the genetic information for a protein that is also called `` huntingtin '' . Expansion of CAG ( cytosine - adenine - guanine ) triplet repeats in the gene coding for the Huntingtin protein results in an abnormal protein , which gradually damages cells in the brain , through mechanisms that are not fully understood . Diagnosis is by genetic testing , which can be carried out at any time , regardless of whether or not symptoms are present . This fact raises several ethical debates : the age at which an individual is considered mature enough to choose testing ; whether parents have the right to have their children tested ; and managing confidentiality and disclosure of test results . "; Huntington's Disease (HD) is caused by a specific type of genetic mutation known as an expanded trinucleotide repeat in the HTT gene. More specifically, it involves an expansion of the CAG trinucleotide repeat sequence in the IT15 region on chromosome 4. In normal individuals, this sequence repeats between 10-34 times. However, in individuals with HD, it has more than 40 repeats. This abnormal expansion leads to the production of a mutated Huntingtin protein that accumulates and damages brain cells over time, causing the symptoms of the disease.;87;8;191;18.660152912139893;14.868933333333331;94.6
38;who does the universal declaration of human rights apply to; During World War II , the Allies adopted the Four Freedoms -- freedom of speech , freedom of religion , freedom from fear , and freedom from want -- as their basic war aims . The United Nations Charter `` reaffirmed faith in fundamental human rights , and dignity and worth of the human person '' and committed all member states to promote `` universal respect for , and observance of , human rights and fundamental freedoms for all without distinction as to race , sex , language , or religion '' . ;" The Universal Declaration of Human Rights (UDHR) applies to all individuals, everywhere, without distinction as to race, sex, language, or religion. This is stated explicitly in Article 1 of the UDHR: ""All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood."" The UDHR was adopted by the United Nations General Assembly on December 10, 1948, as a common standard of achievements for all peoples and all nations, to promote respect for human rights and fundamental freedoms.";96;10;93;17.51689910888672;14.856999999999998;99.0
39;who plays jack donaghy in the avery jessup movie; Avery 's mother Diana ( Mary Steenburgen ) arrives to make sure that the TV movie about her daughter shows her in a good light . Liz ( Tina Fey ) promises to help Jack ( Alec Baldwin ) overcome his chemistry with Diana and keep him out of an inappropriate relationship . Liz eventually fixes Diana up with the actor playing Jack ( William Baldwin , Alec Baldwin 's real life brother ) to keep her away from Jack . At the table reading of Liz 's script , Jack is appalled that Liz has included some seedy details about Jack and Avery 's courtship . He fires Liz from the project and rewrites the script himself . Jack eventually realizes that Liz is right that he had been idealizing his relationship with Avery . Liz consoles him and helps him rewrite the script to be a total fabrication . ;" The character Jack Donaghy, from the TV show ""30 Rock,"" is played by Alec Baldwin. However, as of now, there is no Avery Jessup movie mentioned in your question. Avery Jessup is a character from the TV show ""Brooklyn Nine-Nine,"" played by Chelsea Peretti. If there's a crossover movie involving these characters in the future, it would be interesting to see who gets cast!";64;9;151;13.625553846359253;14.885272727272728;92.81818181818181
40;supreme court justices are appointed for a term of a. life. b. 2 years. c. 14 years. d. 6 years; The Supreme Court of the United States is the highest ranking judicial body in the United States . Its membership , as set by the Judiciary Act of 1869 , consists of the Chief Justice of the United States and eight associate justices , any six of whom would constitute a quorum . Justices are nominated by the President of the United States and appointed after confirmation by the United States Senate . Justices of the Supreme Court have life tenure and receive a salary which is set at $255,500 per year for the chief justice and at $244,400 per year for each associate justice as of 2014 . ; a. life;2;20;109;302.7548477649689;7.802;3.0
41;what did audrey hepburn won a tony for; Audrey Hepburn received numerous awards and honors during her career . Hepburn won , or was nominated for , awards for her work in motion pictures , television , spoken - word recording , on stage , and humanitarian work . She was five - times nominated for an Academy Award , and was awarded the 1954 Academy Award for Best Actress for her performance in Roman Holiday and the Jean Hersholt Humanitarian Award in 1993 , post-humously , for her humanitarian work . She won a record three BAFTA Awards for Best British Actress in a Leading Role , from five nominations , and received a Lifetime Achievement Award in 1992 . Hepburn received 10 Golden Globe Award nominations , winning two , and was the recipient of the Cecil B. DeMille Award in 1990 . She also won the 1954 Tony Award for Best Performance by a Leading Actress in a Play in Ondine , and received a Special Tony Award in 1968 . ; Audrey Hepburn did not win a Tony Award. She was nominated for the Tony Award for Best Featured Actress in a Play in 1952 for her performance in Ondine, but she lost to Mildred Dunnock for The Crucible. However, Audrey Hepburn won an Academy Award for Best Actress for her role in Roman Holiday (1953), and she also won an Emmy Award for Outstanding Performance by a Leading Actress in a Drama Series for her work in the television seriesAudrey Hepburn's ABC Wildlife Movies in 1994.;86;8;166;28.424119472503662;8.95875;13.0
42;where does the saying spotty muldoon come from; Spotty Muldoon , a fictional character created by Peter Cook , and featured in his 1965 song The Ballad of Spotty Muldoon ;" The phrase ""Spotty Muldoon"" is not widely known as a common saying or idiom. However, it originates from the world of professional wrestling and specifically in the WWE (World Wrestling Entertainment). The character of Spotty Muldoon was portrayed by Irish wrestler Finlay O'Shea Dwyer, who competed under the ring name ""Fit Finlay.""

Finlay was known for his fiery red hair and freckles, which earned him the nickname ""Spotty"" due to his many freckles. The character of Muldoon was a hard-nosed, tough-as-nails brawler with a fondness for whiskey and a penchant for using weapons in the ring.

In short, Spotty Muldoon is a tribute to the iconic wrestler Finlay O'Shea Dwyer and his distinctive appearance during his time in WWE.";119;8;22;26.380549430847168;14.857090909090903;98.13636363636364
43;when did the word robotics first appear in print;" According to the Oxford English Dictionary , the word robotics was first used in print by Isaac Asimov , in his science fiction short story `` Liar ! '' , published in May 1941 in Astounding Science Fiction . Asimov was unaware that he was coining the term ; since the science and technology of electrical devices is electronics , he assumed robotics already referred to the science and technology of robots . In some of Asimov 's other works , he states that the first use of the word robotics was in his short story Runaround ( Astounding Science Fiction , March 1942 ) . However , the original publication of `` Liar ! '' predates that of `` Runaround '' by ten months , so the former is generally cited as the word 's origin . ";" The term ""robot"" was first coined in a play called Rossum's Universal Robots (R.U.R.), written by Karel Čapek and his brother Josef Čapek in 1920. However, the English term ""robotics"" didn't appear in print until much later. The first known use of the word ""robotics"" in an English publication was in a 1941 article titled ""The First Cybernetics Conference"" by Norbert Wiener, published in Philosophy of Science. In this article, Wiener used the term ""cybernetics,"" which is the scientific study of communication and control in machines and living beings (a broad field that includes robotics), and mentioned that they were discussing the term ""robotics."" This marked the official introduction of the term ""robotics"" in the English language.";117;9;138;24.783113479614258;14.884904761904759;96.38095238095238
44;when did loyola last win the ncaa championship; In 1963 , Loyola won the 1963 NCAA Men 's Division I Basketball Tournament ( then the `` NCAA University Division '' ) men 's basketball national championship under the leadership of All - American Jerry Harkness , defeating two - time defending champion Cincinnati 60 -- 58 in overtime in the title game . All five starters for the Ramblers played the entire championship game without substitution . ;" Loyola University Chicago, known for its basketball team the Ramblers, won the NCAA Division I Men's Basketball Championship in 1963. This victory was significant because it occurred after they had faced and overcome a 17-point deficit during their semi-final game against Mississippi State, a comeback that became known as ""The Game of the Century."" The Ramblers then went on to defeat Cincinnati in the final game for their first and only NCAA title. Since then, Loyola has reached the Final Four four times (1963, 1970, 2018, and 2019) but has not won another championship.";94;8;69;20.49500012397766;14.869352941176468;93.3529411764706
45;who played the baby in i love lucy; Enrique Alberto Ricardo IV , `` Little Ricky , '' is a fictional character from the American television series I Love Lucy ( 1951 -- 57 , with Ricky Jr. becoming a part of the show as of his birth in 1953 ) and The Lucy - Desi Comedy Hour ( 1957 -- 60 ) . Little Ricky was played by a number of actors , including James John Ganzer , twins Richard and Ronald Lee Simmons , twins Michael and Joseph Mayer and , most notably , Keith Thibodeaux , billed as Little Ricky . Although the I Love Lucy announcer and the opening credits of The Lucy - Desi Comedy Hour gave his stage name as `` Little Ricky '' , in his post-Lucy acting career , particularly his four - year irregular stint on The Andy Griffith Show , he was billed as Richard Keith . ;" In the classic TV series ""I Love Lucy,"" the role of Little Ricky, Lucy and Ricky Ricardo's son, was portrayed by two actors as he grew from a baby to a boy. The baby was played firstly by a child actor named William Frawley Jr., who looked similar to his father, Fred Mertz (also in ""I Love Lucy""). Later, when Little Ricky became a toddler, the role was taken over by Desi Arnaz Jr., the real-life son of Desi Arnaz and Lucille Ball. It's interesting to note that Desi Arnaz Jr. made his acting debut at just six weeks old in an episode titled ""The New Baby,"" which aired on October 15, 1953.";113;8;149;22.591602325439453;14.887263157894731;94.78947368421052
46;where does publisher clearing house money come from; Publishers Clearing House ( PCH ) is a direct marketing company that markets merchandise and magazine subscriptions with sweepstakes , and prize - based games . ; Publisher Clearing House (PCH) is a direct marketing company that operates sweepstakes games. The funds used to offer these prizes are primarily derived from the sale of magazine subscriptions and other products, as well as donations and partnerships with retailers for specific promotions. It's important to note that you cannot win PCH by paying money or purchasing anything all prize opportunities offered by PCH are completely free to enter.;69;8;26;12.809966564178467;14.866199999999997;96.7
47;who did the patriots play last year for super bowl; Super Bowl LI was an American football game played at NRG Stadium in Houston , Texas , on February 5 , 2017 , to determine the champion of the National Football League ( NFL ) for the 2016 season . The American Football Conference ( AFC ) champion New England Patriots , after trailing by as many as 25 points ( 28 -- 3 ) during the third quarter , defeated the National Football Conference ( NFC ) champion Atlanta Falcons , 34 -- 28 in overtime . The Patriots ' 25 - point comeback is the largest comeback in Super Bowl history , and Super Bowl LI was the first to be decided in overtime . ; The New England Patriots played against the Los Angeles Rams in the Super Bowl LIII, which was held on February 3, 2019. The Patriots won the game with a score of 13-3.;32;10;117;7.438496351242065;14.8624;86.4
48;who sings the song don't you forget about me in the commercial; `` Do n't You ( Forget About Me ) '' is a 1985 pop song performed by Scottish rock band Simple Minds . The song is best known for being played during the opening and closing credits of the John Hughes film The Breakfast Club . It was written and composed by producer Keith Forsey and Steve Schiff , a guitarist and songwriter from the Nina Hagen band . ;" The song ""Don't You (Forget About Me)"" was made famous by the British band Simple Minds. However, it wasn't used in a commercial, but rather became widely known as the theme song for the 1985 film ""The Breakfast Club."" In a twist of fate, the Coca-Cola company did use the song in their commercials years later, starting in 2013. This version was sung by Eddie Vedder, the lead singer of Pearl Jam.";72;12;69;14.885974168777466;14.882166666666663;98.33333333333333
49;ukraine starts liquidation of legendary aircraft manufacturer antonov; On 19 July 2017 , the Ukrainian government approved the liquidation of Antonov 's assets , starting with closing down three factories in Kiev and Kharkiv . The State Concern `` Antonov '' ( a business group , created in 2005 from the merger of several legally independent companies into a single economic entity under unified management ) will be liquidated as a residual corporate entity . Antonov State Company , Kharkiv State Aviation Manufacturing Enterprise and Plant No 410 of Civil Aviation were transferred under the management of another state - owned concern Ukroboronprom in 2015 . Antonov State Company continues to function as an enterprise . ;" It seems that the Ukrainian government has announced plans to liquidate Antonov, one of Ukraine's most prominent aerospace companies known for designing and manufacturing some of the world's largest planes. This decision comes amid financial difficulties faced by the company due to various factors such as the ongoing conflict in Eastern Ukraine, sanctions, and lack of foreign investment.

The Ukrainian government has stated that liquidation is aimed at reorganizing the company and finding a strategic investor who can revitalize Antonov and bring it back to profitability. However, this move has sparked controversy and concerns among workers, aviation enthusiasts, and experts about the future of Ukraine's aerospace industry and its national pride.

Antonov, founded in 1946, is famous for designing and manufacturing iconic aircraft like the Antonov An-225 Mriya, the world's largest military transport plane, and the An-124 Ruslan, one of the world's heaviest airlift planes. The company has also played a crucial role in delivering humanitarian aid to various parts of the world during crises.

The liquidation process is still ongoing, and it remains to be seen how this move will affect Antonov's future and Ukraine's aerospace industry as a whole. It is essential that the Ukrainian government finds a viable solution that preserves Antonov's legacy while ensuring its financial stability and growth in the global market.";217;8;108;41.24283576011658;14.876361111111114;95.86111111111111
